,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20
BPQ,2,4,3,1,2,5,5,3,2,5,4,4,1,1,5,3,5,5,2,3
BPT,3,5,2,1,5,2,4,2,1,4,5,5,4,1,1,3,3,2,3,1
BPV,3,2,4,1,5,3,4,3,5,2,1,2,5,1,2,4,2,4,5,1
BQA,2,2,1,4,1,3,4,1,3,3,1,1,5,3,1,1,5,4,4,4
BQB,5,3,2,4,5,2,2,5,2,3,1,2,1,4,3,5,5,1,1,5
BQC,2,4,2,3,5,4,5,4,5,4,2,4,2,2,2,2,2,3,5,3
BQE,4,2,5,2,5,1,2,5,5,5,5,3,1,1,2,3,2,1,3,4
BQG,5,5,2,2,5,4,2,2,2,5,1,4,1,5,5,2,4,5,3,5
BQH,2,3,5,4,5,2,5,4,3,1,1,5,1,5,4,1,5,4,4,3
BQI,2,2,5,5,4,3,5,1,1,1,2,4,4,4,5,3,2,3,5,2
BQM,5,4,5,2,1,5,2,5,2,2,5,1,5,4,4,3,4,5,2,2
BQN,1,1,4,5,5,1,4,2,5,3,1,2,4,3,1,1,4,4,5,4
BQP,1,2,3,2,2,2,4,2,5,2,4,1,3,4,4,4,4,3,1,4
BQQ,4,5,3,1,2,4,4,3,1,4,3,1,3,4,4,3,1,1,5,5
BQR,1,5,5,3,1,4,2,5,4,3,3,1,2,5,1,5,4,4,1,3
BQT,2,3,2,2,3,1,5,1,2,5,3,4,1,4,5,3,3,5,4,3
BRA,2,1,1,5,1,3,2,2,4,2,1,1,3,3,1,1,4,5,4,1
BRB,3,3,1,5,1,1,1,2,4,4,4,2,1,4,3,4,2,2,5,4
BRC,3,4,5,1,3,2,4,5,1,3,3,1,1,5,3,3,4,4,2,3
BRD,4,4,3,5,5,5,2,3,3,4,1,4,3,5,4,2,5,2,2,4
BRE,1,5,3,1,3,3,1,4,3,3,4,3,4,3,3,5,2,3,5,3
BRF,1,5,4,2,1,5,3,4,2,3,3,4,2,5,4,3,4,2,2,1
BRH,4,1,1,1,5,1,3,5,5,3,5,5,3,5,3,4,2,1,2,3
BRK,5,4,4,4,3,2,1,4,2,4,1,2,3,2,3,2,3,4,3,1
BSB,1,4,3,5,3,3,2,3,1,1,5,1,5,1,5,1,4,3,2,4
BSC,4,3,3,2,5,5,5,4,5,1,1,5,2,5,3,2,3,4,1,2
BSD,5,2,4,4,4,2,2,2,3,1,1,2,3,3,2,5,2,1,3,3
BSE,5,1,3,2,2,2,4,1,2,3,5,1,4,3,3,1,3,4,3,5
BSG,5,1,2,2,3,4,3,3,1,3,4,5,4,4,1,3,2,5,1,5
BSK,3,4,1,4,2,2,5,3,2,1,3,5,4,1,4,4,5,4,2,1
BSM,1,1,1,3,5,3,1,1,4,3,3,5,3,4,4,2,5,1,3,4
BSN,3,4,5,5,3,3,5,5,5,1,4,1,5,4,4,1,5,4,4,4
BSP,2,3,2,2,2,2,3,4,2,3,4,2,5,1,3,5,1,2,2,1
BSR,1,5,4,4,2,5,3,1,3,5,5,1,3,5,3,2,5,3,4,2
BSS,5,5,1,4,4,4,3,1,3,2,3,5,4,5,5,2,3,5,2,3
BST,4,1,3,5,2,5,5,1,4,5,3,3,5,4,1,1,2,3,3,3
BTC,2,3,2,5,5,2,2,3,2,2,3,2,3,5,4,4,2,3,2,3
BTF,5,4,2,2,4,3,3,4,1,2,1,3,3,1,5,4,3,5,2,1
BTG,1,5,1,5,5,2,2,4,3,4,1,4,1,5,4,2,2,4,4,5
BTL,2,1,4,2,5,3,2,2,1,2,1,4,4,4,4,4,3,2,3,1
BTN,1,3,1,1,4,3,3,1,3,3,2,1,4,3,5,2,4,5,5,2
BTR,4,1,4,4,1,3,3,2,1,4,3,1,4,5,5,2,5,3,4,3
BTT,3,4,5,5,2,2,5,2,3,3,1,1,4,2,2,3,5,5,1,1
BTV,5,3,4,2,3,2,4,3,5,4,4,4,5,5,1,1,4,2,5,4
BVA,2,4,2,5,4,1,4,2,1,2,2,1,3,4,2,1,4,5,4,4
BVC,1,1,3,2,3,1,2,5,1,5,1,5,3,5,4,1,5,4,4,2
BVD,1,1,1,5,3,1,3,4,4,4,3,4,1,3,4,2,2,1,1,2
BVF,4,4,2,4,5,5,3,5,2,1,2,4,5,1,5,4,2,2,5,3
BVG,3,4,1,4,2,5,5,1,1,5,2,5,3,2,1,5,1,5,2,1
BVH,5,2,1,5,2,3,1,3,2,2,2,3,2,3,4,3,4,3,2,5
BVK,4,3,2,1,2,1,5,2,4,5,5,5,2,3,4,4,3,3,3,3
BVV,2,4,4,5,3,3,4,5,5,2,3,3,1,5,3,1,3,4,4,4
CAA,4,1,2,5,5,1,5,3,2,3,4,5,3,5,2,3,3,3,3,3
CAB,1,1,3,3,1,5,3,4,1,5,1,1,5,3,3,5,5,5,3,1
CAC,2,1,5,5,5,1,2,2,3,2,2,4,3,1,3,2,2,3,4,5
CAD,1,2,2,3,4,4,2,3,4,3,5,3,3,3,1,4,5,4,5,4
CAF,3,4,2,1,1,2,3,1,5,1,1,5,4,1,1,5,3,1,2,5
CAH,2,4,2,1,1,5,1,3,3,5,2,4,4,2,1,4,2,2,2,5
CAI,2,5,3,4,3,5,4,2,2,2,1,3,1,3,4,3,3,3,5,1
CAK,4,3,4,1,4,1,2,4,3,1,2,2,5,5,1,3,2,2,5,5
CAL,1,5,4,4,1,4,4,1,2,5,5,2,1,1,3,2,1,4,3,2
CAM,4,4,5,2,2,1,4,1,2,5,5,1,1,4,1,3,2,2,2,1
CAP,3,2,3,3,4,4,2,5,5,5,2,4,3,4,2,3,2,4,3,2
CAQ,2,1,1,4,3,2,5,1,1,4,1,4,2,2,3,4,3,1,4,4
CAR,3,3,2,5,1,4,2,3,1,1,2,3,3,5,2,3,2,2,5,4
CAT,4,4,1,5,3,1,4,5,2,1,3,4,5,4,5,1,4,1,3,2
CAV,3,2,1,1,3,2,2,5,5,3,5,1,2,2,1,3,3,2,2,5
CBA,3,3,5,1,5,1,2,4,4,1,5,2,2,5,4,2,1,2,4,2
CBB,2,5,1,1,3,1,4,1,3,4,4,4,4,1,1,5,3,5,1,5
CBC,5,5,2,3,2,2,2,2,2,2,4,2,1,5,2,2,1,2,5,1
CBD,4,3,3,2,2,2,4,3,2,3,1,5,4,1,1,5,1,2,4,1
CBE,2,4,5,4,1,1,4,3,2,5,4,5,1,5,4,4,1,1,3,5
CBG,2,5,5,4,3,4,2,1,5,4,5,3,4,1,4,1,3,2,3,2
CBH,2,5,1,5,5,1,5,1,5,1,1,1,4,3,3,3,2,1,1,5
CBM,4,1,1,1,4,3,5,2,1,2,3,4,5,5,4,5,2,4,5,1
CBN,3,2,5,1,5,1,5,2,5,1,2,4,4,3,5,1,4,2,4,5
CCC,1,1,5,5,4,1,3,3,3,3,5,4,4,5,4,2,5,3,3,3
CCD,1,3,1,2,1,2,2,5,5,1,1,5,2,2,2,2,5,4,1,1
CCE,5,2,5,1,5,3,4,2,5,5,2,3,1,1,3,5,1,4,2,2
CCF,2,3,2,5,4,3,1,3,5,1,1,3,3,2,1,2,2,3,2,3
CCG,2,4,5,4,5,5,2,4,3,3,1,1,3,3,4,3,3,3,3,3
CCH,4,5,1,1,1,2,3,1,4,2,1,3,5,4,2,5,4,1,2,2
CCI,1,5,3,5,1,3,2,1,4,1,4,1,4,2,2,5,4,5,3,2
CCL,3,4,2,3,5,2,5,3,2,5,5,2,3,5,3,3,4,1,2,5
CCM,1,1,1,2,4,3,5,4,5,1,1,4,3,2,2,4,2,4,2,5
CCN,3,4,3,5,3,4,2,3,2,3,1,5,3,2,2,5,4,1,3,1
CCP,4,4,5,1,3,2,5,4,5,3,4,1,3,1,1,3,1,4,3,5
CCQ,5,3,4,3,1,4,5,4,5,3,1,1,3,1,1,4,5,1,4,2
CCR,3,4,1,4,2,1,4,5,1,2,2,3,1,4,5,4,3,3,3,3
CCS,4,1,3,2,1,1,4,4,1,1,1,5,3,2,3,2,2,3,4,1
CCV,4,1,4,1,3,3,4,5,4,3,2,5,4,5,1,5,2,3,4,2
CDB,3,2,4,5,2,2,2,2,1,2,2,2,1,3,1,5,1,1,3,4
CDC,2,3,4,3,2,1,1,4,4,5,1,1,4,3,3,3,5,3,3,2
CDD,4,5,4,2,5,4,4,4,1,4,5,3,1,2,3,2,2,2,4,1
CDF,5,5,3,1,1,4,5,5,2,4,4,4,4,1,1,1,3,3,1,2
CDG,3,2,4,4,4,3,4,4,2,1,5,5,4,2,2,2,2,2,1,4
CDL,2,2,5,1,2,5,4,5,5,1,3,5,4,5,1,2,2,1,3,5
CDM,5,2,2,4,4,4,3,3,4,3,2,1,2,1,2,2,2,5,2,5
CDP,4,5,4,4,5,2,4,4,1,3,4,3,3,3,5,3,1,1,5,2
CDS,1,5,5,3,2,2,4,5,3,2,4,5,5,3,2,2,3,3,1,2
CDT,1,2,5,4,5,5,2,4,2,1,3,1,5,5,5,5,4,5,3,4
CDV,1,5,2,2,1,4,1,3,4,5,2,2,1,1,3,1,1,4,1,4
CEC,1,2,3,4,2,2,4,2,3,4,5,4,3,2,1,4,4,5,2,3
CED,2,1,1,3,2,4,1,1,1,2,4,1,3,2,2,2,5,1,2,4
CEF,2,3,3,3,1,5,2,3,1,3,4,4,4,2,5,4,5,2,1,2
CEG,2,1,5,1,2,5,1,5,4,5,1,4,1,4,2,1,1,5,1,4
CEH,1,2,4,1,2,5,4,2,1,5,4,1,4,2,4,4,4,2,2,4
CEI,5,1,3,5,2,3,2,2,1,2,4,5,2,4,5,2,4,5,3,4
CEK,3,5,5,5,2,3,3,4,3,1,3,3,2,3,2,4,3,2,3,4
CEL,1,2,5,5,5,4,1,2,2,4,2,5,2,3,4,4,4,4,3,2
CEP,5,5,2,5,3,2,5,3,4,3,4,3,4,3,1,1,3,1,5,1
CEQ,1,3,3,1,5,1,2,5,4,5,3,3,4,4,4,1,5,2,2,1
CER,4,4,1,4,2,2,4,1,2,2,5,3,1,2,2,5,5,2,5,5
CES,1,1,4,5,5,4,4,1,1,5,4,4,1,3,2,4,4,5,3,3
CET,2,2,3,3,5,1,1,3,3,3,1,3,2,2,3,5,5,3,4,4
CFA,1,1,4,1,1,1,2,3,1,1,5,5,4,5,1,1,5,4,3,5
CFB,4,4,2,5,1,4,4,2,5,1,1,1,2,5,4,5,5,3,1,4
CFE,3,4,4,3,4,2,4,3,4,2,5,1,4,1,4,4,1,1,2,2
CFF,1,3,1,3,4,5,1,3,3,4,2,5,3,4,2,5,4,2,4,1
CFQ,1,2,1,3,1,4,5,5,2,1,1,1,5,2,1,4,4,5,3,2
CFR,5,4,2,2,2,2,1,3,2,3,1,4,1,1,3,2,5,3,3,2
CFT,4,2,1,4,5,4,2,2,2,5,2,4,5,1,2,5,3,1,4,4
CFV,3,3,2,2,4,1,3,2,4,2,2,3,3,4,5,4,1,2,3,4
CGB,2,1,3,5,1,2,3,2,5,2,1,4,1,3,2,1,5,3,4,2
CGE,3,3,1,4,4,2,3,2,3,5,1,3,5,1,4,2,5,5,2,5
CGG,5,4,5,4,1,1,1,4,1,4,2,2,3,2,2,3,2,4,1,2
CGI,3,4,3,5,3,1,5,3,1,1,1,4,3,2,4,5,1,4,2,5
CGK,1,1,4,3,2,5,1,2,3,1,2,2,1,2,3,1,4,1,5,4
CGL,5,1,5,2,4,5,5,2,5,5,2,1,2,5,5,4,5,1,5,1
CGN,3,1,3,2,2,2,2,4,3,2,5,2,2,3,3,3,3,1,2,5
CGP,3,3,1,3,2,5,4,1,2,5,4,2,4,2,3,1,4,1,2,1
CGQ,4,1,3,5,2,3,5,4,4,1,2,2,1,5,4,5,5,5,3,4
CGR,2,1,1,1,5,5,4,2,5,2,1,3,4,3,4,3,1,4,3,4
CGT,3,5,2,5,4,1,2,3,4,4,3,5,4,3,1,5,1,2,1,1
CGV,5,1,1,1,3,3,5,5,2,5,5,2,4,2,5,3,2,2,3,4
CHA,3,3,5,3,2,3,3,4,1,2,1,1,3,3,2,2,4,2,3,3
CHC,1,1,4,2,4,1,1,5,5,3,4,3,1,2,2,4,4,2,3,3
CHD,3,2,4,5,5,2,3,5,4,1,3,1,5,2,5,5,4,1,5,3
CHE,2,1,5,3,3,3,1,4,3,1,3,2,2,5,5,5,1,3,1,3
CHF,3,1,4,5,2,1,5,4,5,2,3,1,4,4,4,3,5,3,4,4
CHG,3,1,2,3,4,5,1,5,5,4,1,3,5,5,3,1,4,5,5,5
CHH,2,3,4,4,1,5,4,4,1,5,2,2,5,1,3,3,4,2,3,3
CHI,1,5,2,3,3,5,1,4,3,2,3,3,3,2,4,5,5,4,5,4
CHK,4,1,1,3,2,4,3,5,3,5,3,1,3,5,3,5,5,2,3,5
CHM,4,1,1,2,3,2,1,1,4,2,5,2,5,5,2,2,1,1,2,5
CHN,2,5,4,4,3,1,3,4,3,3,3,1,3,5,3,5,2,4,3,4
CHP,5,1,5,1,3,1,2,4,2,3,1,4,5,3,5,5,1,5,2,4
CHQ,5,4,3,3,2,4,3,5,2,5,2,5,5,5,3,4,1,5,1,5
CHR,3,5,3,5,5,4,1,4,4,3,5,1,5,1,2,1,3,2,3,5
CHS,5,5,2,4,1,4,4,2,3,4,3,5,1,1,2,1,2,1,5,1
CHT,2,3,2,1,2,4,1,1,1,3,3,4,5,5,2,4,4,4,2,2
CHV,5,5,2,4,5,1,3,3,3,4,3,1,3,1,5,5,4,2,3,2
CIA,1,4,2,1,2,2,5,2,2,5,2,2,2,2,3,4,1,5,4,2
CIB,1,3,1,5,4,3,5,1,1,5,3,5,3,3,2,2,2,3,5,3
CIC,2,3,2,5,2,4,2,5,2,4,5,2,3,3,5,3,4,2,2,1
CID,5,1,5,5,3,3,2,4,2,1,3,3,5,1,1,1,2,5,1,4
CIF,1,3,1,1,3,5,2,2,5,1,5,1,2,4,2,3,2,5,5,5
CIG,2,3,5,4,4,4,2,2,4,4,1,3,1,1,4,1,3,4,1,2
CIH,1,3,5,3,1,2,1,5,5,3,1,3,2,5,3,3,5,5,3,5
CII,1,5,3,5,5,2,5,3,1,3,2,4,5,2,5,1,5,1,4,5
CIK,2,5,5,5,1,2,4,1,3,4,5,5,5,5,5,1,3,1,5,4
CIL,3,5,2,5,1,5,5,5,5,3,3,5,3,2,5,1,1,4,3,3
CIN,5,3,1,4,1,2,2,3,5,1,4,1,1,4,4,1,4,2,1,3
CIQ,3,3,1,2,2,4,3,5,2,4,5,4,4,2,1,5,2,4,4,4
CIR,5,1,3,5,5,1,3,1,5,4,3,3,1,1,5,3,2,1,4,3
CIS,1,3,2,2,4,2,4,4,3,1,1,5,5,3,4,5,4,4,4,2
CIT,2,4,1,4,3,3,4,1,2,4,5,2,4,1,3,2,2,3,5,3
CIV,2,3,5,4,2,3,1,5,4,1,2,2,2,5,3,1,4,1,4,4
CKA,5,3,2,5,4,4,3,4,3,2,1,5,3,1,1,5,2,1,5,1
CKB,1,4,3,1,1,5,2,2,2,3,2,5,1,1,1,2,3,3,4,1
CKC,1,1,2,3,5,4,2,3,5,4,1,4,1,4,5,3,3,1,1,2
CKE,2,2,3,2,3,4,4,4,4,4,2,5,4,3,5,1,2,5,3,1
CKF,5,3,2,5,4,3,2,5,4,2,3,2,4,5,1,5,3,4,1,5
CKG,2,2,4,3,5,2,1,5,5,4,4,4,1,2,4,4,2,4,4,1
CKH,5,5,3,5,4,3,1,2,4,2,4,5,3,4,2,2,3,5,1,1
CKI,3,5,5,1,2,4,4,3,2,2,4,2,2,5,3,2,5,2,5,3
CKL,1,3,4,5,2,1,2,1,5,4,3,3,5,1,4,4,4,3,2,3
CKM,5,5,3,1,5,1,3,4,1,4,5,5,1,5,4,5,4,4,4,2
CKN,3,4,4,2,1,2,2,4,2,1,4,1,3,2,1,3,5,4,2,1
CKP,3,1,4,3,2,2,4,3,4,4,2,2,2,1,3,5,3,1,4,5
CKQ,3,1,1,3,4,2,4,5,1,3,3,2,4,1,4,2,1,4,1,5
CKR,5,2,2,4,5,4,1,3,5,1,4,3,4,3,1,3,2,4,2,2
CKT,5,4,4,1,3,4,3,5,1,5,2,5,5,4,4,2,3,3,4,4
CKV,4,2,3,3,1,3,4,5,4,3,2,3,1,2,2,3,1,5,3,1
CLB,1,1,2,2,5,3,5,3,3,5,1,2,3,2,5,5,2,3,4,3
CLC,3,2,2,3,2,1,3,4,2,4,3,3,1,2,3,2,3,3,1,3
CLD,5,2,4,2,1,5,5,5,5,5,2,5,3,1,5,2,1,5,5,2
CLG,4,1,4,3,2,5,3,5,1,2,4,3,1,3,4,5,4,2,1,5
CLI,2,2,5,2,2,4,1,3,2,1,4,4,4,4,5,4,5,3,2,4
CLK,5,2,1,1,4,3,5,3,5,5,5,5,3,5,5,2,5,2,3,3
CLL,3,4,5,2,5,3,4,5,1,1,4,1,5,4,3,4,1,1,2,3
CLM,1,3,1,1,3,1,4,1,3,5,1,3,4,2,5,1,3,5,4,2
CLR,1,4,4,2,2,3,3,5,2,2,5,3,2,2,1,4,5,2,1,5
CLS,2,3,5,5,2,5,5,3,1,4,2,4,3,1,1,1,4,1,2,3
CLT,2,1,4,2,5,2,1,2,2,1,5,3,2,2,3,2,4,3,1,1
CLV,4,5,4,1,4,1,2,4,5,1,3,3,1,2,4,1,1,3,5,3
CMB,2,5,3,3,3,3,2,1,5,4,1,4,4,3,2,5,3,4,4,3
CMC,1,1,5,1,3,2,3,3,3,5,2,3,4,3,1,1,1,4,1,5
CMD,1,4,3,1,2,2,2,2,5,4,4,4,1,4,3,5,3,3,5,2
CME,1,4,1,4,5,3,2,2,5,4,2,3,4,2,5,1,3,1,1,2
CMF,4,2,4,4,4,4,2,1,2,3,1,5,2,1,2,5,1,1,1,1
CMH,4,3,4,4,4,5,5,3,2,5,5,2,1,5,5,4,4,5,2,4
CMI,2,4,5,1,3,1,3,1,1,5,5,3,4,3,3,2,2,4,3,2
CMK,5,3,2,3,5,2,5,5,4,5,1,3,2,3,2,3,2,2,4,5
CMM,5,5,5,4,3,2,4,2,5,4,2,5,1,1,1,5,5,3,5,2
CMP,4,3,4,3,4,4,4,5,3,5,2,2,3,5,4,3,3,2,4,2
CMS,4,3,3,2,3,4,3,2,1,2,4,2,4,2,3,5,5,4,5,3
CMT,2,2,3,1,1,4,2,2,2,3,1,1,5,2,1,3,3,3,4,1
CNB,5,1,5,2,2,1,5,1,5,2,2,2,5,4,5,1,2,5,1,3
CNC,2,5,4,1,5,5,1,4,2,5,1,1,1,1,5,4,1,1,5,3
CNE,3,3,1,4,5,2,1,5,5,1,5,1,5,1,4,1,3,5,4,4
CNF,4,2,5,5,2,2,5,5,3,5,3,2,1,4,2,4,4,2,3,3
CNG,2,3,3,3,2,1,3,4,1,4,1,1,3,3,5,2,3,2,4,1
CNI,2,1,1,5,4,2,1,2,2,2,4,3,4,5,3,1,2,5,3,3
CNK,3,2,2,5,5,3,3,3,5,2,4,2,1,5,2,5,1,2,5,5
CNL,3,4,5,2,1,3,1,1,3,4,5,2,1,1,2,5,1,5,4,4
CNM,1,2,1,5,2,2,2,1,2,4,4,1,4,4,3,5,5,1,5,5
CNN,2,2,4,4,3,4,1,1,4,4,4,5,4,4,1,3,5,3,4,4
CNP,4,4,1,3,3,4,2,3,2,3,2,2,1,4,2,1,4,3,4,4
CNQ,3,2,5,5,1,5,4,1,4,5,2,4,4,5,4,1,2,3,3,4
CNR,5,5,5,4,2,3,2,5,5,5,4,2,1,1,1,3,3,1,5,3
CNS,3,3,4,1,5,4,2,3,4,5,5,4,3,2,4,4,3,1,4,2
CNT,5,5,4,5,1,2,1,2,5,4,2,4,3,5,3,5,5,3,2,4
CPA,1,3,4,5,1,5,5,3,3,2,4,4,2,4,5,5,5,1,4,5
CPB,3,4,5,1,5,4,5,4,3,5,5,2,2,5,1,1,1,5,2,5
CPC,3,1,5,2,1,5,5,5,4,1,1,1,4,2,5,3,5,5,1,4
CPD,1,3,4,2,2,5,2,2,3,1,5,5,3,4,4,3,2,3,5,2
CPE,2,3,2,2,2,4,5,3,5,1,5,3,3,5,3,4,3,3,4,3
CPF,1,2,1,4,4,2,1,1,2,4,1,4,1,3,1,5,4,5,5,2
CPG,3,4,1,5,3,5,4,4,3,2,5,4,1,4,2,1,3,5,1,2
CPL,2,1,3,1,3,3,5,5,5,4,2,3,1,4,2,3,4,1,3,4
CPM,2,5,2,5,5,1,5,1,3,1,2,2,5,3,5,1,2,2,3,4
CPN,4,5,5,1,5,5,2,1,2,4,2,2,5,2,3,1,5,1,5,5
CPQ,2,4,3,2,1,1,1,2,2,5,1,4,3,2,4,2,3,1,2,1
CPT,2,5,4,2,4,5,4,4,2,1,5,4,2,3,4,2,4,3,1,2
CQA,5,5,4,4,5,3,2,4,1,1,5,4,2,4,1,5,4,2,4,1
CQB,1,5,4,3,3,3,4,2,1,4,4,3,2,3,2,1,1,4,5,5
CQC,2,3,1,4,3,4,4,1,2,1,5,1,2,1,2,2,5,4,3,2
CQD,3,5,5,1,5,5,3,2,4,3,3,5,4,2,5,1,5,2,5,4
CQE,5,1,5,4,3,1,3,2,2,3,3,4,2,5,4,5,4,5,1,5
CQF,5,5,2,2,4,3,1,2,2,5,4,3,4,2,1,3,1,3,1,4
CQG,2,3,3,2,5,1,4,2,1,4,2,5,5,2,1,2,2,3,2,1
CQH,4,4,2,4,4,4,4,5,4,2,5,2,5,2,1,1,3,2,5,4
CQI,5,4,1,4,1,4,4,1,5,4,2,3,3,3,2,3,1,3,2,1
CQK,4,5,3,4,4,3,1,5,4,5,4,5,5,3,2,2,4,2,2,2
CQL,2,1,4,4,3,1,1,1,4,4,2,1,4,4,3,2,5,1,5,5
CQN,5,1,4,3,4,2,5,3,5,4,4,3,3,5,3,4,5,4,5,2
CQP,5,5,4,3,3,4,1,4,1,5,1,1,5,1,3,3,5,4,5,5
CQQ,1,4,5,4,5,5,3,4,4,2,2,3,3,2,1,1,3,2,1,3
CQR,3,2,4,4,2,3,1,2,3,3,4,2,1,4,4,4,1,1,4,4
CQS,2,1,3,2,4,5,4,3,3,4,1,2,5,3,5,4,1,5,2,2
CQT,4,3,1,1,3,1,1,2,4,1,4,1,1,4,3,5,1,3,4,3
CQV,2,4,3,4,5,5,5,2,3,3,3,1,2,5,2,4,5,3,4,3
CRA,2,5,4,5,3,4,3,2,3,5,3,3,2,1,4,2,4,2,4,2
CRC,1,5,3,2,2,4,1,2,4,4,3,4,5,3,1,4,5,1,2,5
CRD,5,2,1,3,5,3,5,4,1,1,3,3,1,5,4,2,3,5,5,3
CRH,3,5,1,3,4,3,5,3,3,1,4,3,3,2,5,3,4,3,1,3
CRK,4,3,1,3,4,4,1,3,4,2,5,3,4,5,4,2,1,3,2,2
CRL,5,1,3,2,1,1,1,2,1,2,3,4,2,4,1,5,3,2,3,1
SACE_GAL,3,5,5,3,4,4,5,4,1,3,1,4,5,2,4,5,4,2,5,5
SACE_GAP,4,3,5,1,5,1,5,5,5,3,3,2,4,2,4,4,2,2,5,2
SACE_GAS,1,5,1,3,3,2,2,2,3,4,4,3,5,1,1,1,1,3,2,3
SACE_GAV,3,1,4,3,1,3,1,4,4,3,2,5,2,3,1,5,2,5,5,3
SACE_MAA,4,5,3,3,2,5,3,5,1,2,5,3,5,2,5,3,3,4,4,1
SACE_MAB,1,4,2,1,4,5,4,3,1,3,5,1,2,5,2,3,3,3,3,5
SACE_MAL,1,5,3,3,2,4,1,1,5,3,2,1,2,1,3,3,4,4,1,2
SACE_YAA,2,3,4,1,3,2,2,4,2,1,2,4,1,3,4,4,2,2,4,5
SACE_YAB,2,1,2,2,2,3,2,5,2,5,4,5,3,5,5,2,4,2,5,2
SACE_YAC,4,5,5,5,4,4,1,1,4,1,4,5,5,1,1,2,1,1,5,3
SACE_YAE,3,4,1,1,4,4,1,1,3,4,4,2,5,3,4,1,5,3,2,1
SACE_YAF,5,2,3,2,1,5,3,3,4,2,1,1,5,3,4,2,5,5,2,1
SACE_YAG,5,3,3,3,2,4,1,3,5,1,3,3,5,4,3,5,3,2,5,2
SACE_YAK,2,4,1,3,3,5,2,1,2,1,3,1,4,2,5,5,4,2,4,1
SACE_YAM,1,2,1,4,5,2,3,1,2,3,3,5,4,4,5,2,5,2,4,3
SACE_YAN,4,1,2,5,3,1,5,1,1,2,4,3,2,3,1,4,4,4,3,4
SACE_YAQ,3,3,2,2,5,3,3,2,3,2,1,2,4,3,2,5,2,2,3,4
SACE_YAR,1,2,5,4,1,3,5,1,1,5,3,5,4,1,2,5,1,1,4,4
SACE_YAT,2,4,3,1,3,5,2,1,4,4,5,3,4,5,2,2,3,3,5,2
SACE_YAX,2,2,4,5,4,5,1,1,4,4,5,2,3,5,5,3,1,4,1,2
SACE_YAY,4,1,5,4,3,1,5,2,5,5,4,2,3,5,3,4,5,4,4,3
SACE_YAZ,1,5,5,4,5,4,4,1,3,2,1,2,2,2,1,5,4,3,3,1
SACE_YBE,1,1,5,4,2,4,4,3,1,1,2,5,3,4,1,4,1,3,2,5
SACE_YBF,5,4,1,5,3,5,3,2,2,3,4,4,1,2,3,1,5,5,5,5
SACE_YBG,4,3,4,1,1,5,1,2,3,4,2,3,4,2,1,3,1,2,3,4
SACE_YBJ,4,5,5,2,5,3,5,3,1,5,5,5,5,5,1,2,3,2,1,5
SACE_YBK,1,4,3,2,1,4,2,3,2,4,2,2,1,4,2,3,4,1,4,4
SACE_YBL,4,4,3,3,5,5,2,1,1,3,2,5,4,3,3,5,5,1,3,1
SACE_YBQ,1,3,2,3,5,1,1,4,5,1,1,4,3,2,2,2,2,3,4,4
SACE_YBR,2,4,2,1,1,3,4,3,3,3,2,3,5,2,2,4,5,4,1,1
SACE_YBS,3,5,4,3,1,1,1,4,4,1,3,3,2,1,5,3,2,4,2,1
SACE_YBT,2,3,3,3,5,1,4,2,3,4,1,3,3,4,3,4,3,4,2,4
SACE_YBU,5,1,1,3,2,4,4,2,3,4,4,5,5,3,5,2,1,5,3,4
SACE_YBV,4,1,2,3,3,4,2,3,1,2,1,3,4,3,4,4,2,5,4,5
SACE_YBW,3,5,4,1,3,1,3,4,2,3,5,2,3,1,4,4,4,1,5,1
SACE_YBY,5,4,1,2,4,5,3,3,1,1,3,2,5,2,3,2,5,5,5,5
SACE_YBZ,1,4,2,3,4,5,2,5,1,2,3,5,5,3,4,1,3,2,1,4
SACE_YCA,3,1,2,4,3,4,1,1,1,1,1,1,1,5,4,3,5,5,2,5
SACE_YCB,5,5,3,4,1,4,1,3,4,5,5,2,4,2,3,2,1,4,2,5
SACE_YCC,4,4,2,1,1,4,4,3,3,4,3,1,4,4,4,1,1,4,1,1
SACE_YCD,5,2,4,5,3,3,2,1,2,5,5,2,3,2,1,1,4,5,3,4
SACE_YCE,4,5,3,5,1,2,4,5,3,2,2,2,5,2,1,1,2,1,1,1
SACE_YCF,5,2,3,4,5,4,1,4,3,3,2,5,5,4,3,4,1,4,1,5
SACE_YCH,3,1,5,5,5,5,4,1,1,3,2,2,4,1,2,4,3,5,1,5
SACE_YCI,5,4,5,4,3,4,5,3,1,5,5,5,3,2,4,4,2,2,2,5
SACE_YCK,2,2,1,1,1,5,5,1,1,3,4,4,4,4,1,4,5,1,1,1
SACE_YCM,1,5,5,5,1,2,2,5,3,3,1,3,1,1,3,2,3,5,2,5
SACE_YCN,4,2,1,2,3,4,1,4,3,3,1,2,2,3,3,4,2,4,3,4
SACE_YCO,1,2,5,3,4,3,1,1,3,3,5,2,1,4,4,2,5,1,5,2
SACE_YCP,2,3,5,3,2,4,5,5,4,2,5,3,4,1,3,4,3,2,4,3
SACE_YDM,5,5,1,1,3,2,1,1,2,4,4,3,5,1,5,1,5,1,2,5
